labour,/employmentandlabourmarket/peopleinwork/labourproductivity/bulletins/labourproductivity/2015-07-01
birth rate,/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/bulletins/birthsinenglandandwales/2013-07-10
pension rates,/employmentandlabourmarket/peopleinwork/workplacepensions/articles/contractingoutofprivatesectordefinedbenefitpensionschemes/2015-03-27
energy,/economy/environmentalaccounts/datasets/ukenvironmentalaccountsenergyreallocatedenergyconsumptionandenergyintensityunitedkingdom
tourism,/businessindustryandtrade/tourismindustry/datasets/overseastravelandtourism
